,Name,Tags,Type,Source Zone,Source Address,Source User,Source Device,Destination Zone,Destination Address,Destination Device,Application,Service,Action,Profile,Options,Rule Usage Hit Count,Rule Usage Last Hit,Rule Usage First Hit,Rule Usage Apps Seen,Days With No New Apps,Modified,Created
38,Python - TCP 9002 and 25000,none,universal,Not-Lab,any,any,any,Lab,10.190.240.0/22,any,any,TCP 9002;TCP 25000,Drop,none,Traffic log sent at session end,112645,8/15/22 4:18,9/25/21 22:01,-,-,9/22/21 14:14,9/22/21 14:14
39,[Disabled]  GV K-Frame allow DC panel,[Disabled] none,[Disabled] universal,[Disabled]  Not-Lab,[Disabled]  10.193.76.0/23;[Disabled]  10.199.97.7;[Disabled]  10.199.97.9,[Disabled]  any,[Disabled]  any,[Disabled]  Lab,[Disabled]  10.190.243.210;[Disabled]  10.190.243.211,[Disabled]  any,[Disabled]  any,[Disabled]  any,[Disabled]  Allow,none,Traffic log sent at session end,2402,1/20/22 9:15,9/26/21 2:09,5,312,2/7/22 17:59,9/24/21 14:23
40,GV K-Frame allow http,none,universal,Not-Lab,any,any,any,Lab,any,any,any,service-http;service-https,Allow,none,Traffic log sent at session end,123839729,8/16/22 16:14,9/24/21 14:29,22,41,2/12/22 0:51,9/24/21 14:29
41,[Disabled]  GV K-Frame drop everything else,[Disabled] none,[Disabled] universal,[Disabled]  Not-Lab,[Disabled]  any,[Disabled]  any,[Disabled]  any,[Disabled]  Lab,[Disabled]  10.190.243.210;[Disabled]  10.190.243.211,[Disabled]  any,[Disabled]  any,[Disabled]  any,[Disabled]  Drop,none,Traffic log sent at session end,5265,5/18/22 8:37,9/27/21 9:43,-,-,6/1/22 13:29,9/24/21 14:23
42,Knapp RIST UDP,none,universal,Not-Lab,10.7.208.152,any,any,Lab,10.190.236.10,any,any,Knapp UDP Ports 1234-7,Allow,none,Traffic log sent at session end,0,-,-,-,-,10/27/21 14:26,10/27/21 14:26
43,Inside-Outside,none,universal,Lab,any,any,any,Not-Lab,any,any,any,any,Allow,none,Traffic log sent at session end,1250223666,8/16/22 16:14,9/24/21 12:30,176,14,9/9/21 14:14,9/9/21 14:14
44,Outside-Inside,none,universal,Not-Lab,any,any,any,Lab,any,any,any,application-default,Allow,none,Traffic log sent at session end,1162385861,8/16/22 16:14,9/24/21 12:30,132,30,9/9/21 14:14,9/9/21 14:14
45,VOS,none,universal,Not-Lab,any,any,any,any,any,any,any,service-https,Allow,none,"Traffic log sent at session start, and at session end",33249,2/9/22 19:36,10/17/21 15:07,4,330,9/9/21 14:14,9/9/21 14:14
46,Keybana Offsite Scripting XSS,none,universal,Not-Lab,any,any,any,Lab,10.190.199.23,any,any,TCP 5601,Deny,none,Traffic log sent at session end,843,8/15/22 4:25,2/13/22 17:23,-,-,2/7/22 13:10,2/7/22 13:10
47,Allow All,none,universal,any,any,any,any,any,any,any,any,any,Allow,none,Traffic log sent at session end,67242980,8/16/22 16:14,9/24/21 12:40,67,5,9/9/21 14:14,9/9/21 14:14
48,vWire-Mike,none,universal,any,any,any,any,any,any,any,any,any,Allow,none,Traffic log sent at session end,0,-,-,-,-,9/9/21 14:14,9/9/21 14:14
49,WM Access Only,none,universal,Not-Lab,[Negate]  10.0.0.0/8,any,any,Lab,10.190.140.0/24,any,any,any,Deny,none,Traffic log sent at session end,0,-,-,-,-,3/4/22 11:51,3/4/22 11:51
50,intrazone-default,none,intrazone,any,any,any,any,(intrazone),any,any,any,any,Allow,none,none,0,-,-,-,-,3/9/21 18:36,3/9/21 18:36
51,interzone-default,none,interzone,any,any,any,any,any,any,any,any,any,Deny,none,none,0,-,-,-,-,3/9/21 18:36,3/9/21 18:36
